192.168.43.182 - - [06/Jun/2021:08:39:44 +0200] "GET /ws/ville/all HTTP/1.1" 200 677
192.168.100.40 - - [06/Jun/2021:21:01:56 +0200] "GET /ws/etablissement/id/1000000011 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:01:56 +0200] "GET /ws/etablissement/id/1000000010 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:01:56 +0200] "GET /ws/etablissement/id/1000000012 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:01:56 +0200] "GET /ws/etablissement/id/1 HTTP/1.1" 200 12392
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000004 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000000 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000002 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000005 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000001 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000003 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000006 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000011 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000010 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000007 HTTP/1.1" 200 12410
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000008 HTTP/1.1" 200 12410
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000009 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1000000012 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:01:59 +0200] "GET /ws/etablissement/id/1 HTTP/1.1" 200 12392
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/all HTTP/1.1" 200 173597
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/all HTTP/1.1" 200 173597
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000000 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000003 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000001 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000004 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000005 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000002 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000006 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000007 HTTP/1.1" 200 12410
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000008 HTTP/1.1" 200 12410
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000009 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000010 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000011 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1 HTTP/1.1" 200 12392
192.168.100.40 - - [06/Jun/2021:21:29:34 +0200] "GET /ws/etablissement/id/1000000012 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/all HTTP/1.1" 200 173597
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/abonnement/all HTTP/1.1" 200 63414
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000003 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000001 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000000 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000002 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000004 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000005 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000006 HTTP/1.1" 200 12412
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000010 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000008 HTTP/1.1" 200 12410
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000009 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000007 HTTP/1.1" 200 12410
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000011 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1000000012 HTTP/1.1" 200 12400
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/id/1 HTTP/1.1" 200 12392
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/etablissement/all HTTP/1.1" 200 173597
192.168.100.40 - - [06/Jun/2021:21:29:36 +0200] "GET /ws/abonnement/all HTTP/1.1" 200 63414
192.168.100.40 - - [06/Jun/2021:21:29:40 +0200] "GET /ws/offre/all HTTP/1.1" 200 961
192.168.100.40 - - [06/Jun/2021:21:29:45 +0200] "GET /ws/offre/id/2 HTTP/1.1" 200 190
192.168.100.40 - - [06/Jun/2021:21:29:49 +0200] "GET /ws/offre/all HTTP/1.1" 200 961
192.168.100.40 - - [06/Jun/2021:21:29:51 +0200] "GET /ws/offre/id/3 HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:29:55 +0200] "GET /ws/offre/all HTTP/1.1" 200 961
192.168.100.40 - - [06/Jun/2021:21:29:55 +0200] "GET /ws/offre/all HTTP/1.1" 200 961
192.168.100.40 - - [06/Jun/2021:21:30:07 +0200] "GET /ws/offre/id/2 HTTP/1.1" 200 190
192.168.100.40 - - [06/Jun/2021:21:30:18 +0200] "GET /ws/offre/all HTTP/1.1" 200 961
192.168.100.40 - - [06/Jun/2021:21:30:18 +0200] "GET /ws/offre/all HTTP/1.1" 200 961
192.168.100.40 - - [06/Jun/2021:21:30:18 +0200] "GET /ws/offre/all HTTP/1.1" 200 961
192.168.100.40 - - [06/Jun/2021:21:30:59 +0200] "GET /ws/offre/id/4 HTTP/1.1" 200 200
192.168.100.40 - - [06/Jun/2021:21:31:08 +0200] "GET /ws/offre/id/4 HTTP/1.1" 200 200
192.168.100.40 - - [06/Jun/2021:21:31:08 +0200] "PUT /ws/offre/modification HTTP/1.1" 200 200
192.168.100.40 - - [06/Jun/2021:21:31:08 +0200] "GET /ws/offre/all HTTP/1.1" 200 961
192.168.100.40 - - [06/Jun/2021:21:31:12 +0200] "GET /ws/offre/id/3 HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:31:18 +0200] "GET /ws/offre/id/3 HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:31:19 +0200] "PUT /ws/offre/modification HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:31:19 +0200] "GET /ws/offre/id/3 HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:31:19 +0200] "PUT /ws/offre/modification HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:31:19 +0200] "GET /ws/offre/all HTTP/1.1" 200 961
192.168.100.40 - - [06/Jun/2021:21:31:32 +0200] "GET /ws/offre/id/3 HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:31:38 +0200] "GET /ws/offre/id/3 HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:31:38 +0200] "PUT /ws/offre/modification HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:31:38 +0200] "GET /ws/offre/id/3 HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:31:38 +0200] "PUT /ws/offre/modification HTTP/1.1" 200 204
192.168.100.40 - - [06/Jun/2021:21:31:38 +0200] "GET /ws/offre/all HTTP/1.1" 200 961
